Year,Month,Monthly Sum
1990,4,2.6297014920809994e-07
1990,5,2.615286982981e-07
1990,6,2.6009139857429986e-07
1990,7,2.5879861949379997e-07
1990,8,2.576636792541001e-07
1990,9,2.5653887516320005e-07
1990,10,2.554126999711e-07
1990,11,2.542940329444e-07
1990,12,2.531731939433e-07
1991,1,2.520247331021e-07
1991,2,2.5095098473129995e-07
1991,3,2.498730358773999e-07
1991,4,2.487575230014999e-07
1991,5,2.476473108198e-07
1991,6,2.4654126287009994e-07
1991,7,2.4560182913790003e-07
1991,8,2.4486358691159996e-07
1991,9,2.441290666248e-07
1991,10,2.433948278498e-07
1991,11,2.42667640598e-07
1991,12,2.4193077546449995e-07
1992,1,2.4112686602150003e-07
1992,2,2.404069505883e-07
1992,3,2.396998182892e-07
1992,4,2.3897285127619997e-07
1992,5,2.382537752702e-07
1992,6,2.375405030167999e-07
1992,7,2.370085319261e-07
1992,8,2.366995833467e-07
1992,9,2.363850481013e-07
1992,10,2.3607704466080008e-07
1992,11,2.3577220196860006e-07
1992,12,2.354683711169001e-07
1993,1,2.3515248925580005e-07
1993,2,2.3486121342110003e-07
1993,3,2.3457472267690005e-07
1993,4,2.3427049278899997e-07
1993,5,2.3397316720380004e-07
1993,6,2.33683049715e-07
1993,7,2.3320420862640007e-07
1993,8,2.3247568213249997e-07
1993,9,2.317467369644e-07
1993,10,2.310242555755e-07
1993,11,2.3030405049250002e-07
1993,12,2.2958629483399998e-07
1994,1,2.2885027631519997e-07
1994,2,2.2815677387519996e-07
1994,3,2.2746909855269998e-07
1994,4,2.267496414714e-07
1994,5,2.2603699615489995e-07
1994,6,2.253319813277e-07
1994,7,2.241206485899e-07
1994,8,2.2221340441480002e-07
1994,9,2.2032239471450006e-07
1994,10,2.1843694449350005e-07
1994,11,2.1655306640409999e-07
1994,12,2.1467352381040001e-07
1995,1,2.127565912515e-07
1995,2,2.1093774743529996e-07
1995,3,2.091248436187e-07
1995,4,2.0724234793260007e-07
1995,5,2.053671516453e-07
1995,6,2.0349924676079997e-07
1995,7,2.0244840836270002e-07
1995,8,2.0251559563369994e-07
1995,9,2.0257810557859996e-07
1995,10,2.0264702729659994e-07
1995,11,2.0271557708250006e-07
1995,12,2.0279047503360003e-07
1996,1,2.0286072320859998e-07
1996,2,2.0293092800389996e-07
1996,3,2.0300899238230005e-07
1996,4,2.0307980014790008e-07
1996,5,2.031575499263e-07
1996,6,2.0324285504819998e-07
1996,7,2.0344832294439998e-07
1996,8,2.0381257991879997e-07
1996,9,2.0416025547829997e-07
1996,10,2.045153481707e-07
1996,11,2.0486869298340004e-07
1996,12,2.0522983234439996e-07
1997,1,2.0559097496149996e-07
1997,2,2.059350078614e-07
1997,3,2.0628767651839993e-07
1997,4,2.0664320545560003e-07
1997,5,2.0700642028110007e-07
1997,6,2.0737714793710002e-07
1997,7,2.072482882178e-07
1997,8,2.0647065468399992e-07
1997,9,2.056914248584e-07
1997,10,2.0491944692329997e-07
1997,11,2.04144739187e-07
1997,12,2.0337958931760006e-07
1998,1,2.0259727521940003e-07
1998,2,2.018492394796e-07
1998,3,2.0111158616079988e-07
1998,4,2.0034006522739992e-07
1998,5,1.995749891356e-07
1998,6,1.988188375556e-07
1998,7,1.9776437692600007e-07
1998,8,1.9629710524160004e-07
1998,9,1.948397672576e-07
1998,10,1.933897989316e-07
1998,11,1.9193654635760003e-07
1998,12,1.9049283609620002e-07
1999,1,1.8901719410699997e-07
1999,2,1.876173368649e-07
1999,3,1.8622001324149998e-07
1999,4,1.8477384075140003e-07
1999,5,1.833311804337e-07
1999,6,1.8189306474539997e-07
1999,7,1.8065006039460006e-07
1999,8,1.7966079437899995e-07
1999,9,1.786777550922e-07
1999,10,1.776982163547e-07
1999,11,1.7671986052370004e-07
1999,12,1.7574759924070005e-07
2000,1,1.7476547739570002e-07
2000,2,1.738085302919e-07
2000,3,1.7285179138959998e-07
2000,4,1.7187805515819996e-07
2000,5,1.7090721435459999e-07
2000,6,1.699412058715e-07
2000,7,1.6899845834329995e-07
2000,8,1.68074632114e-07
2000,9,1.6715456035330002e-07
2000,10,1.6623851560180002e-07
2000,11,1.65323680304e-07
2000,12,1.6441453004819998e-07
2001,1,1.634963396194e-07
2001,2,1.6261633399490004e-07
2001,3,1.617366406046e-07
2001,4,1.608252719072e-07
2001,5,1.5991706753190002e-07
2001,6,1.5901332691850002e-07
2001,7,1.580958131339e-07
2001,8,1.5714926503279998e-07
2001,9,1.562071593316e-07
2001,10,1.5526962928070007e-07
2001,11,1.5433329087580002e-07
2001,12,1.5340177030989997e-07
2002,1,1.5246063198639998e-07
2002,2,1.5155943765859997e-07
2002,3,1.5065828021830004e-07
2002,4,1.497246895009001e-07
2002,5,1.4879358071300006e-07
2002,6,1.4786672224e-07
2002,7,1.473254672651e-07
2002,8,1.4729827240029992e-07
2002,9,1.4726337470450003e-07
2002,10,1.4723302280090002e-07
2002,11,1.4720395011109994e-07
2002,12,1.4717925523310002e-07
2003,1,1.471600862988e-07
2003,2,1.4713610642369998e-07
2003,3,1.4711215546800003e-07
2003,4,1.470850732097e-07
2003,5,1.4706016934570003e-07
2003,6,1.4703978089659996e-07
2003,7,1.4686621856929999e-07
2003,8,1.4648295147419997e-07
2003,9,1.4609431789300005e-07
2003,10,1.4570971766570003e-07
2003,11,1.4532671378169998e-07
2003,12,1.44947638229e-07
2004,1,1.4456831207500002e-07
2004,2,1.4419562119800007e-07
2004,3,1.43822411264e-07
2004,4,1.4344066149100005e-07
2004,5,1.43061571836e-07
2004,6,1.42686143014e-07
2004,7,1.4231187010700002e-07
2004,8,1.4193842551200001e-07
2004,9,1.4156113392299996e-07
2004,10,1.4118851328000002e-07
2004,11,1.4081758390599997e-07
2004,12,1.4044981118300003e-07
2005,1,1.4008248314100004e-07
