Year,Month,OCEMAN Monthly Sum
1985,6,1.2111012525549999e-08
1985,7,1.2080190832945996e-08
1985,8,1.2070979903836002e-08
1985,9,1.2062028836539999e-08
1985,10,1.2053068828042e-08
1985,11,1.2044114725165e-08
1985,12,1.2035156331328e-08
1986,1,1.2026042844431e-08
1986,2,1.2017372812613997e-08
1986,3,1.2008720047011e-08
1986,4,1.1999747259901e-08
1986,5,1.1990801249130999e-08
1986,6,1.1981830592384998e-08
1986,7,1.1982038068455002e-08
1986,8,1.1994526940673e-08
1986,9,1.2006879530273001e-08
1986,10,1.2019254718583003e-08
1986,11,1.2031612563423002e-08
1986,12,1.204398386226e-08
1987,1,1.2056540782063999e-08
1987,2,1.2068499673773003e-08
1987,3,1.2080450478724998e-08
1987,4,1.2092818323309997e-08
1987,5,1.2105173992812997e-08
1987,6,1.2117540951470997e-08
1987,7,1.2122232690021003e-08
1987,8,1.2116371316009002e-08
1987,9,1.2110552266594003e-08
1987,10,1.2104725248086997e-08
1987,11,1.2098901964769999e-08
1987,12,1.2093076131650004e-08
1988,1,1.2087155070484997e-08
1988,2,1.2081421189408997e-08
1988,3,1.2075689247717998e-08
1988,4,1.2069881996087995e-08
1988,5,1.2064042287336004e-08
1988,6,1.2058220874532e-08
1988,7,1.2063520112245e-08
1988,8,1.2082962943440997e-08
1988,9,1.2102151855403003e-08
1988,10,1.2121336313902998e-08
1988,11,1.2140519947511997e-08
1988,12,1.2159700716140003e-08
1989,1,1.2179209935120001e-08
1989,2,1.2197753341844002e-08
1989,3,1.2216312689587001e-08
1989,4,1.2235493337220001e-08
1989,5,1.2254678253377003e-08
1989,6,1.2273865532048004e-08
1989,7,1.2228023143438999e-08
1989,8,1.2096700282857e-08
1989,9,1.1967130326915e-08
1989,10,1.1837528900915999e-08
1989,11,1.1707945038803999e-08
1989,12,1.1578346583429002e-08
1990,1,1.1446638550965e-08
1990,2,1.1321291817447995e-08
1990,3,1.1195971971940999e-08
1990,4,1.1066386793361999e-08
1990,5,1.0936805976277e-08
1990,6,1.0807204488815998e-08
1990,7,1.0675415806635002e-08
1990,8,1.0538494810222998e-08
1990,9,1.0403767360608998e-08
1990,10,1.0269017081525002e-08
1990,11,1.0134299826971004e-08
1990,12,9.999561725882003e-09
1991,1,9.862628149056e-09
1991,2,9.732312415615e-09
1991,3,9.602003015801e-09
1991,4,9.467260746932003e-09
1991,5,9.332531998816999e-09
1991,6,9.197801127557003e-09
1991,7,9.151651385767e-09
1991,8,9.227203117574e-09
1991,9,9.302358120806002e-09
1991,10,9.377515537929001e-09
1991,11,9.452664072222e-09
1991,12,9.527822054939e-09
1992,1,9.604218634521003e-09
1992,2,9.678129516262003e-09
1992,3,9.752064777e-09
1992,4,9.827215299551999e-09
1992,5,9.902368835956003e-09
1992,6,9.977533311970003e-09
1992,7,1.0008097803301998e-08
1992,8,9.982799033283999e-09
1992,9,9.957704050706998e-09
1992,10,9.932602531132e-09
1992,11,9.907506110354997e-09
1992,12,9.882402227709996e-09
1993,1,9.856898877146002e-09
1993,2,9.832610963518003e-09
1993,3,9.808345728108e-09
1993,4,9.783244276584e-09
1993,5,9.758144549827999e-09
1993,6,9.733044578455e-09
1993,7,9.694904017487003e-09
1993,8,9.639142251639999e-09
1993,9,9.584210044341e-09
1993,10,9.529283572822999e-09
1993,11,9.474338510362e-09
1993,12,9.419403186032001e-09
1994,1,9.363559440567e-09
1994,2,9.310418015129e-09
1994,3,9.257278176310001e-09
1994,4,9.202355387698998e-09
1994,5,9.147412472109e-09
1994,6,9.092475460306002e-09
1994,7,9.074029665858e-09
1994,8,9.104275408908e-09
1994,9,9.134300949692997e-09
1994,10,9.164334151133e-09
1994,11,9.194356124993e-09
1994,12,9.224380694808003e-09
1995,1,9.254900009354004e-09
1995,2,9.28393836801e-09
1995,3,9.312983119820002e-09
1995,4,9.34301454067e-09
1995,5,9.373040570730003e-09
1995,6,9.40306437398e-09
1995,7,9.405160897630002e-09
1995,8,9.368646073809997e-09
1995,9,9.33246060871e-09
1995,10,9.29627190756e-09
1995,11,9.260099671499998e-09
1995,12,9.223914844590003e-09
1996,1,9.187137884250004e-09
1996,2,9.151550103980003e-09
1996,3,9.115957727660002e-09
1996,4,9.079778511570003e-09
1996,5,9.043590701600002e-09
1996,6,9.007411827107e-09
1996,7,8.991786064192999e-09
1996,8,9.001897895850997e-09
1996,9,9.011945757399999e-09
1996,10,9.021997696090002e-09
1996,11,9.032037389740002e-09
1996,12,9.042092738760002e-09
1997,1,9.052303237390001e-09
1997,2,9.06201773179e-09
1997,3,9.071733314899999e-09
1997,4,9.081783000779998e-09
1997,5,9.09182617185e-09
1997,6,9.101878758730001e-09
1997,7,9.110596256120002e-09
1997,8,9.117738123879998e-09
1997,9,9.124760245610003e-09
1997,10,9.131776256329996e-09
1997,11,9.138798361080001e-09
1997,12,9.145826306290001e-09
1998,1,9.152944942160001e-09
1998,2,9.15974503359e-09
1998,3,9.166533922900003e-09
1998,4,9.17354544108e-09
1998,5,9.18057168824e-09
1998,6,9.187590118310001e-09
1998,7,9.19530450157e-09
1998,8,9.204076981240001e-09
1998,9,9.2127172748e-09
1998,10,9.221358900200003e-09
1998,11,9.229996248670001e-09
1998,12,9.23863727889e-09
1999,1,9.24741724745e-09
1999,2,9.25577342014e-09
1999,3,9.264132937190004e-09
1999,4,9.272766202949999e-09
1999,5,9.281408439399999e-09
1999,6,9.29004407481e-09
1999,7,9.297557071150006e-09
1999,8,9.303635811499999e-09
1999,9,9.30960443588e-09
1999,10,9.31556381574e-09
1999,11,9.321526401730002e-09
1999,12,9.32750265474e-09
2000,1,9.33355926145e-09
2000,2,9.339426928940003e-09
2000,3,9.345298909080001e-09
2000,4,9.351265145410001e-09
2000,5,9.35723148634e-09
2000,6,9.363200622450001e-09
2000,7,9.37334442091e-09
2000,8,9.388860639489999e-09
2000,9,9.404138631999997e-09
2000,10,9.419421231029998e-09
2000,11,9.434700386249999e-09
2000,12,9.449982637100001e-09
2001,1,9.465510759920002e-09
2001,2,9.480290325770004e-09
2001,3,9.495071665480004e-09
2001,4,9.51035270543e-09
2001,5,9.525635392750003e-09
2001,6,9.540909345779997e-09
2001,7,9.553164563679999e-09
2001,8,9.56173091027e-09
2001,9,9.570148738279998e-09
2001,10,9.578555421870002e-09
2001,11,9.58697525204e-09
2001,12,9.595384501130001e-09
2002,1,9.603943450350005e-09
2002,2,9.612074585489999e-09
2002,3,9.620216708129997e-09
2002,4,9.62862753773e-09
2002,5,9.637044646980002e-09
2002,6,9.64545624425e-09
2002,7,9.65441731582e-09
2002,8,9.664264474999996e-09
2002,9,9.673948735720001e-09
2002,10,9.683638739769998e-09
2002,11,9.693331561770003e-09
2002,12,9.703015688939997e-09
