Year,Month,SO4EMAN Monthly Sum
1990,11,1.1993589209770003e-08
1990,12,1.1941894587970001e-08
1991,1,1.1889363801620003e-08
1991,2,1.1839377284879996e-08
1991,3,1.1789376050700005e-08
1991,4,1.173769205978e-08
1991,5,1.1685997031589996e-08
1991,6,1.1634312245560002e-08
1991,7,1.1590281812799998e-08
1991,8,1.1556115071320002e-08
1991,9,1.1522601537069999e-08
1991,10,1.1489056711620003e-08
1991,11,1.1455519104419997e-08
1991,12,1.1421973959210001e-08
1992,1,1.1387876250889999e-08
1992,2,1.135490274548e-08
1992,3,1.132192266598e-08
1992,4,1.1288379207150002e-08
1992,5,1.1254827861089997e-08
1992,6,1.1221285448710004e-08
1992,7,1.119647553554e-08
1992,8,1.118227358472e-08
1992,9,1.1168330935399999e-08
1992,10,1.1154403221329997e-08
1992,11,1.114047346437e-08
1992,12,1.1126559420260005e-08
1993,1,1.1112384226179999e-08
1993,2,1.1098902613250002e-08
1993,3,1.1085450820399999e-08
1993,4,1.1071510023920003e-08
1993,5,1.1057591356609995e-08
1993,6,1.1043643662310002e-08
1993,7,1.1021316854370003e-08
1993,8,1.0987660361250001e-08
1993,9,1.0954476486669999e-08
1993,10,1.0921308897030001e-08
1993,11,1.0888147837920004e-08
1993,12,1.0854981436299997e-08
1994,1,1.0821260683660002e-08
1994,2,1.0789178093959997e-08
1994,3,1.075709878095e-08
1994,4,1.0723926649679998e-08
1994,5,1.0690753235039996e-08
1994,6,1.0657583998340002e-08
1994,7,1.0601252702270002e-08
1994,8,1.0512887680099997e-08
1994,9,1.0425769878599998e-08
1994,10,1.033866305188e-08
1994,11,1.0251545819779997e-08
1994,12,1.0164434064580002e-08
1995,1,1.0075904225500003e-08
1995,2,9.991627315679997e-09
1995,3,9.907380330420003e-09
1995,4,9.820268600649996e-09
1995,5,9.733156092730001e-09
1995,6,9.646040552200002e-09
1995,7,9.59730716338e-09
1995,8,9.600820248669997e-09
1995,9,9.604643466720002e-09
1995,10,9.60844826721e-09
1995,11,9.612267440789998e-09
1995,12,9.616075593840002e-09
1996,1,9.619955862510001e-09
1996,2,9.62370792371e-09
1996,3,9.627456728160002e-09
1996,4,9.63126367258e-09
1996,5,9.635074249879997e-09
1996,6,9.638897430509998e-09
1996,7,9.648595720060004e-09
1996,8,9.665895205680003e-09
1996,9,9.68295352791e-09
1996,10,9.699998864369996e-09
1996,11,9.717056004919997e-09
1996,12,9.734109026110002e-09
1997,1,9.751439368829998e-09
1997,2,9.767926595930002e-09
1997,3,9.784418079550002e-09
1997,4,9.801471370480003e-09
1997,5,9.818500713279997e-09
1997,6,9.83557300459e-09
1997,7,9.82977595558e-09
1997,8,9.7940822308e-09
1997,9,9.758857387920004e-09
1997,10,9.72361067593e-09
1997,11,9.688386683359996e-09
1997,12,9.65313559671e-09
1998,1,9.617325292629997e-09
1998,2,9.58324040444e-09
1998,3,9.549153813119997e-09
1998,4,9.513913811590004e-09
1998,5,9.478664883520004e-09
1998,6,9.443438494499998e-09
1998,7,9.394686024280002e-09
1998,8,9.326994625689996e-09
1998,9,9.260303124709996e-09
1998,10,9.19359124199e-09
1998,11,9.12689871075e-09
1998,12,9.060199229840002e-09
1999,1,8.992403221779998e-09
1999,2,8.927899751780003e-09
1999,3,8.863387090249995e-09
1999,4,8.796682217359999e-09
1999,5,8.729975052079999e-09
1999,6,8.663294514009997e-09
1999,7,8.605827184930002e-09
1999,8,8.560204569449999e-09
1999,9,8.515422297740003e-09
1999,10,8.47065095111e-09
1999,11,8.425842866650002e-09
1999,12,8.38105858228e-09
2000,1,8.335554318320002e-09
2000,2,8.291491431989998e-09
2000,3,8.247429395610001e-09
2000,4,8.20266086448e-09
2000,5,8.15787343613e-09
2000,6,8.11307011997e-09
2000,7,8.070257736779999e-09
2000,8,8.029205029200001e-09
2000,9,7.988845271130002e-09
2000,10,7.948482304969997e-09
2000,11,7.908105780720003e-09
2000,12,7.867741548320002e-09
2001,1,7.82671861786e-09
2001,2,7.78767236269e-09
2001,3,7.748625287319998e-09
2001,4,7.708264270200001e-09
2001,5,7.667899124430002e-09
2001,6,7.627515987130001e-09
2001,7,7.586119414979997e-09
2001,8,7.542699138280001e-09
2001,9,7.499975278080003e-09
2001,10,7.45723571018e-09
2001,11,7.41451145078e-09
2001,12,7.3717890367100005e-09
2002,1,7.32835690583e-09
2002,2,7.287032329069998e-09
2002,3,7.245699873930001e-09
2002,4,7.202969759760001e-09
2002,5,7.1602412664800005e-09
2002,6,7.117522457130001e-09
2002,7,7.092952553919998e-09
2002,8,7.092368799989998e-09
2002,9,7.091951264049998e-09
2002,10,7.0915092250399985e-09
2002,11,7.091082060890002e-09
2002,12,7.090650677470001e-09
2003,1,7.090217739549999e-09
2003,2,7.08978865738e-09
2003,3,7.089366790569999e-09
2003,4,7.088940889910002e-09
2003,5,7.088507175830001e-09
2003,6,7.08807174136e-09
2003,7,7.08011844805e-09
2003,8,7.06165842619e-09
2003,9,7.043416691450001e-09
2003,10,7.025170774810002e-09
2003,11,7.006939887290002e-09
2003,12,6.9886900593600005e-09
2004,1,6.97015824075e-09
2004,2,6.952217127910002e-09
2004,3,6.934264913410001e-09
2004,4,6.91603735919e-09
2004,5,6.897793325799999e-09
2004,6,6.879547245070001e-09
2004,7,6.862038902319999e-09
2004,8,6.845167697440001e-09
2004,9,6.828565710339999e-09
2004,10,6.811969909360001e-09
2004,11,6.7953682593e-09
2004,12,6.778768184280002e-09
2005,1,6.761898732839998e-09
2005,2,6.74584442782e-09
2005,3,6.7297845734799995e-09
2005,4,6.71319237668e-09
2005,5,6.696596453920001e-09
2005,6,6.679986319860001e-09
2005,7,6.650609685689999e-09
2005,8,6.604134694380002e-09
2005,9,6.558349566199999e-09
2005,10,6.512541828370001e-09
2005,11,6.46674618845e-09
2005,12,6.420938730840002e-09
2006,1,6.374383806179998e-09
2006,2,6.3300834074600015e-09
2006,3,6.285786762080001e-09
2006,4,6.23998504445e-09
2006,5,6.1941953984799995e-09
2006,6,6.14839075711e-09
2006,7,6.12263699052e-09
2006,8,6.123386176429999e-09
2006,9,6.124279833849999e-09
2006,10,6.125172080170002e-09
2006,11,6.1260590421199974e-09
2006,12,6.1269512271200025e-09
2007,1,6.127851840350001e-09
2007,2,6.128710526199999e-09
2007,3,6.1295664795700005e-09
2007,4,6.13045296945e-09
2007,5,6.131344367399999e-09
2007,6,6.132238659600002e-09
2007,7,6.11257203476e-09
2007,8,6.064187786859998e-09
2007,9,6.01639254206e-09
2007,10,5.968592853230001e-09
2007,11,5.920795940380001e-09
2007,12,5.87299347904e-09
2008,1,5.82441170121e-09
2008,2,5.777397008550002e-09
2008,3,5.730382623979999e-09
2008,4,5.68258636361e-09
2008,5,5.634782295520001e-09
2008,6,5.586981105469999e-09
2008,7,5.5604657147499995e-09
2008,8,5.56036558905e-09
2008,9,5.56036558905e-09
2008,10,5.56036558905e-09
2008,11,5.56036558905e-09
2008,12,5.56036558905e-09
2009,1,5.56036558905e-09
2009,2,5.56036558905e-09
2009,3,5.56036558905e-09
2009,4,5.56036558905e-09
2009,5,5.56036558905e-09
2009,6,5.56036558905e-09
2009,7,5.56036558905e-09
2009,8,5.56036558905e-09
2009,9,5.56036558905e-09
2009,10,5.56036558905e-09
2009,11,5.56036558905e-09
2009,12,5.56036558905e-09
2010,1,5.56036558905e-09
2010,2,5.56036558905e-09
2010,3,5.56036558905e-09
2010,4,5.56036558905e-09
2010,5,5.56036558905e-09
2010,6,5.56036558905e-09
2010,7,5.56036558905e-09
2010,8,5.56036558905e-09
2010,9,5.56036558905e-09
2010,10,5.56036558905e-09
2010,11,5.56036558905e-09
2010,12,5.56036558905e-09
2011,1,5.56036558905e-09
2011,2,5.56036558905e-09
2011,3,5.56036558905e-09
2011,4,5.56036558905e-09
2011,5,5.56036558905e-09
2011,6,5.56036558905e-09
2011,7,5.56036558905e-09
2011,8,5.56036558905e-09
2011,9,5.56036558905e-09
2011,10,5.56036558905e-09
2011,11,5.56036558905e-09
2011,12,5.56036558905e-09
2012,1,5.56036558905e-09
2012,2,5.56036558905e-09
2012,3,5.56036558905e-09
2012,4,5.56036558905e-09
2012,5,5.56036558905e-09
2012,6,5.56036558905e-09
2012,7,5.56036558905e-09
2012,8,5.56036558905e-09
2012,9,5.56036558905e-09
2012,10,5.56036558905e-09
2012,11,5.56036558905e-09
2012,12,5.56036558905e-09
2013,1,5.56036558905e-09
2013,2,5.56036558905e-09
2013,3,5.56036558905e-09
2013,4,5.56036558905e-09
2013,5,5.56036558905e-09
2013,6,5.56036558905e-09
2013,7,5.56036558905e-09
2013,8,5.56036558905e-09
2013,9,5.56036558905e-09
2013,10,5.56036558905e-09
2013,11,5.56036558905e-09
2013,12,5.56036558905e-09
2014,1,5.56036558905e-09
2014,2,5.56036558905e-09
2014,3,5.56036558905e-09
2014,4,5.56036558905e-09
2014,5,5.56036558905e-09
2014,6,5.56036558905e-09
2014,7,5.56036558905e-09
2014,8,5.56036558905e-09
2014,9,5.56036558905e-09
2014,10,5.56036558905e-09
2014,11,5.56036558905e-09
2014,12,5.56036558905e-09
