Date,SO2EMAN Monthly Sum
2006-09-01,1.26303261727e-07
2006-10-01,1.26321112941e-07
2006-11-01,1.26341026452e-07
2006-12-01,1.26360159102e-07
2007-01-01,1.2637125146199998e-07
2007-02-01,1.2639050027700002e-07
2007-03-01,1.2641116036799998e-07
2007-04-01,1.2642959329400006e-07
2007-05-01,1.2645077463999994e-07
2007-06-01,1.2647510635199999e-07
2007-07-01,1.2605374631700002e-07
2007-08-01,1.2501396109199993e-07
2007-09-01,1.2397747986600002e-07
2007-10-01,1.2294585348099996e-07
2007-11-01,1.2191634799899995e-07
2007-12-01,1.20886126828e-07
2008-01-01,1.1983058499099994e-07
2008-02-01,1.1881758321300001e-07
2008-03-01,1.1780652480539999e-07
2008-04-01,1.1677555801800006e-07
2008-05-01,1.157473487086e-07
2008-06-01,1.1472211604879999e-07
2008-07-01,1.1415127693480002e-07
2008-08-01,1.1415217433730002e-07
2008-09-01,1.1414638931440001e-07
2008-10-01,1.1414547568540005e-07
2008-11-01,1.1414621983580003e-07
2008-12-01,1.1414583465210002e-07
2009-01-01,1.1413762250370002e-07
2009-02-01,1.1413787895880001e-07
2009-03-01,1.1414036268819997e-07
2009-04-01,1.1414004283349998e-07
2009-05-01,1.14142123551e-07
2009-06-01,1.1414733135679994e-07
2009-07-01,1.141490296159e-07
2009-08-01,1.1415217452429993e-07
2009-09-01,1.141463894254e-07
2009-10-01,1.1414547561540006e-07
2009-11-01,1.141462200388e-07
2009-12-01,1.1414583445110001e-07
2010-01-01,1.141377840387e-07
2010-02-01,1.1413780029780002e-07
2010-03-01,1.1414031923409998e-07
2010-04-01,1.1414003847019999e-07
2010-05-01,1.1414199247119998e-07
2010-06-01,1.1414721109040001e-07
2010-07-01,1.1414895015209995e-07
2010-08-01,1.1415220025109999e-07
2010-09-01,1.141465461277e-07
2010-10-01,1.141454666944e-07
2010-11-01,1.1414618369469993e-07
2010-12-01,1.1414597729719999e-07
2011-01-01,1.141377836457e-07
2011-02-01,1.1413780073080006e-07
2011-03-01,1.1414031926310001e-07
2011-04-01,1.1414003892919998e-07
2011-05-01,1.1414199130620005e-07
2011-06-01,1.141472110144e-07
2011-07-01,1.1414895016809995e-07
2011-08-01,1.1415220017810002e-07
2011-09-01,1.141465458777e-07
2011-10-01,1.141454657264e-07
2011-11-01,1.1414618339270001e-07
2011-12-01,1.1414597713719999e-07
2012-01-01,1.1413778263769998e-07
2012-02-01,1.1413784251650007e-07
2012-03-01,1.141403627092e-07
2012-04-01,1.1414004299649999e-07
2012-05-01,1.14142125621e-07
2012-06-01,1.1414733115479999e-07
2012-07-01,1.1414902976689999e-07
2012-08-01,1.1415217431330002e-07
2012-09-01,1.1414638942839994e-07
2012-10-01,1.1414547549240002e-07
2012-11-01,1.1414621946780007e-07
2012-12-01,1.1414583435209999e-07
2013-01-01,1.1413762233770001e-07
2013-02-01,1.1413787894879999e-07
2013-03-01,1.1414036246019995e-07
2013-04-01,1.1414004275049995e-07
2013-05-01,1.1414212449000001e-07
2013-06-01,1.1414733234779994e-07
2013-07-01,1.1414902974789994e-07
2013-08-01,1.1415217462329998e-07
2013-09-01,1.1414638942839999e-07
2013-10-01,1.1414547560340006e-07
2013-11-01,1.1414621966580005e-07
2013-12-01,1.141458345621e-07
2014-01-01,1.1413778363670001e-07
2014-02-01,1.141378006118e-07
2014-03-01,1.1414031823510001e-07
