Year,Month,BCEMAN Monthly Sum,OCEMAN Monthly Sum,SO2EMAN Monthly Sum,SO4EMAN Monthly Sum
1988,12,5.350812912100001e-09,1.2159700716140004e-08,2.807667781977e-07,1.3227298718859992e-08
1989,1,5.35825216011e-09,1.217920993512e-08,2.8010207530520004e-07,1.3196683785629997e-08
1989,2,5.36533488184e-09,1.2197753341844002e-08,2.7948492902820005e-07,1.316754045138e-08
1989,3,5.372418263439998e-09,1.2216312689587e-08,2.788638076823e-07,1.3138366165109999e-08
1989,4,5.379739873160001e-09,1.223549333722e-08,2.7822400980719995e-07,1.3108221881730001e-08
1989,5,5.387062191510001e-09,1.2254678253377003e-08,2.77585609914e-07,1.3078069456720002e-08
1989,6,5.3943848029300015e-09,1.2273865532048004e-08,2.769511030537e-07,1.304795132846e-08
1989,7,5.379868954540003e-09,1.2228023143438999e-08,2.759698777625e-07,1.3001500326539998e-08
1989,8,5.336663893109999e-09,1.2096700282856999e-08,2.7450235202379997e-07,1.2933041754609998e-08
1989,9,5.29402526224e-09,1.1967130326915e-08,2.7304762229400003e-07,1.2865585349089999e-08
1989,10,5.25139527853e-09,1.1837528900916e-08,2.7159039103090003e-07,1.279815779735e-08
1989,11,5.20874825841e-09,1.1707945038804e-08,2.7014124522819986e-07,1.2730707275890002e-08
1989,12,5.16611469969e-09,1.1578346583429e-08,2.6868985477889985e-07,1.266325072123e-08
1990,1,5.12277934677e-09,1.1446638550965e-08,2.672074552250001e-07,1.2594712309389998e-08
1990,2,5.081542556759999e-09,1.1321291817447997e-08,2.6581330027819985e-07,1.25294770116e-08
1990,3,5.04029186782e-09,1.1195971971941e-08,2.644153841682001e-07,1.2464233935070001e-08
1990,4,4.99765864386e-09,1.1066386793362e-08,2.6297014920809994e-07,1.2396797323430005e-08
1990,5,4.955019213800001e-09,1.0936805976277e-08,2.615286982981e-07,1.2329349086799995e-08
1990,6,4.9123786286800016e-09,1.0807204488815998e-08,2.6009139857429986e-07,1.2261906468310002e-08
1990,7,4.8632010250200015e-09,1.0675415806635e-08,2.587986194938e-07,1.2201222077150002e-08
1990,8,4.80444046374e-09,1.0538494810222998e-08,2.5766367925410014e-07,1.214865556197e-08
1990,9,4.74657553829e-09,1.0403767360608998e-08,2.5653887516320005e-07,1.2096957521360002e-08
1990,10,4.68871871902e-09,1.0269017081525002e-08,2.554126999711e-07,1.204527141508e-08
1990,11,4.630849857569999e-09,1.0134299826971003e-08,2.5429403294439996e-07,1.1993589209770005e-08
1990,12,4.572984221760001e-09,9.999561725882004e-09,2.531731939433e-07,1.1941894587970001e-08
1991,1,4.51417516901e-09,9.862628149056e-09,2.520247331021e-07,1.1889363801620003e-08
1991,2,4.4582046178600015e-09,9.732312415615e-09,2.5095098473129995e-07,1.1839377284879996e-08
1991,3,4.4022386326600025e-09,9.602003015800999e-09,2.4987303587739987e-07,1.1789376050700004e-08
1991,4,4.344373129970001e-09,9.467260746932005e-09,2.487575230014999e-07,1.173769205978e-08
1991,5,4.28650770977e-09,9.332531998816999e-09,2.476473108198e-07,1.1685997031589995e-08
1991,6,4.22864288217e-09,9.197801127557003e-09,2.465412628701e-07,1.1634312245560002e-08
1991,7,4.201112896909999e-09,9.151651385766999e-09,2.4560182913790003e-07,1.1590281812799998e-08
1991,8,4.2150712345e-09,9.227203117574e-09,2.448635869116e-07,1.1556115071320002e-08
1991,9,4.22908672518e-09,9.302358120806002e-09,2.441290666248e-07,1.152260153707e-08
1991,10,4.243102299220003e-09,9.377515537929e-09,2.433948278498e-07,1.1489056711620004e-08
1991,11,4.2571167698e-09,9.452664072221999e-09,2.42667640598e-07,1.1455519104419996e-08
1991,12,4.271132750099999e-09,9.527822054939001e-09,2.4193077546449995e-07,1.142197395921e-08
1992,1,4.285379211549998e-09,9.604218634521004e-09,2.4112686602150003e-07,1.138787625089e-08
1992,2,4.299162578430001e-09,9.678129516262004e-09,2.404069505883e-07,1.135490274548e-08
