Date,Auto Gas,Basic Chemicals,Fuel Oil,Manufacturing,Pave Roof PC,Petrol Coal,Total Population,Profit,Working Population
1994-04-01,76.0632084384197,104.93801290464089,78.93362270776434,66.19672601680045,110.40181153129211,85.54584966352346,78.46459740728532,219749.35534412958,165582300.0
1994-07-01,77.20069538039068,105.04689913447757,78.11231954740539,66.48975136349294,114.7381215120776,87.09977200873392,78.71817092943645,231034.84304993256,165951300.0
1994-10-01,80.04766847172924,103.69001780172354,78.71439719079206,68.40251681770474,107.3841998998377,85.66840013500389,78.95921493637542,238049.97951417006,166439300.0
1995-01-01,76.17132134062243,106.21409684999298,74.28599297698011,68.7168440070066,94.52691969365834,80.34704265709699,79.17102340781932,238697.228832021,166582700.0
1995-04-01,79.82044052358977,106.39236587787563,75.57110807647288,69.60642095541264,109.48181078509734,86.14669963700484,79.39595803805692,250577.40786089236,166903700.0
1995-07-01,80.71621710373056,103.57139559861268,76.51860612563402,69.85284227085643,115.743532859117,88.98089970450678,79.65191813453418,254572.12305774275,167306300.0
1995-10-01,80.15982297775264,100.50926414227054,79.3748780725712,70.74631955664165,106.5241243332678,84.86212383163087,79.89654200296233,258392.89419947503,167753300.0
1996-01-01,76.58221772905648,101.13359741694556,75.29262582910653,70.55680316347365,94.87636844227538,80.44821292042347,80.09552263740329,260814.42512428298,168093000.0
1996-04-01,81.20356716443881,103.20959787912453,79.45498439328912,73.18763073005815,112.78733879681835,87.78724488741639,80.32344048554855,262313.6599490121,168607000.0
1996-07-01,81.92252357742561,103.86246762718943,79.50448692937964,74.18061662333793,123.08080858812775,90.85574558654368,80.58506869605037,260851.3233906947,169081300.0
1996-10-01,81.77219836865152,107.90009884251027,88.10817401482637,75.55933588255385,114.13714772790868,89.30160282681618,80.84252040148147,267485.2432887189,169575700.0
1997-01-01,77.86374294052497,111.94041584356192,77.21188548575887,76.55252179313511,101.22487870747587,83.61931657723807,81.05671544725149,267862.4840498442,170458000.0
1997-04-01,84.120145654911,112.75946858372082,83.88143776824035,78.82831864956319,124.95421664617022,93.25209221592357,81.28880980046748,277421.20411214954,170924000.0
1997-07-01,83.0126339412766,110.81596688426193,81.80099005072181,79.57208298517823,136.11878272673917,93.97383955200749,81.55849269931998,288669.5489719626,171343300.0
1997-10-01,80.71150189927312,112.10637502017835,82.84188451033945,83.19639648829624,126.52237364554888,89.11347903651303,81.81355783042495,290437.01041744545,171851000.0
1998-01-01,74.71106742686239,111.74401776199629,75.87507315645728,83.73154277845033,114.42173493152946,82.15752750015497,82.02357637112425,251982.94598773008,172233700.0
1998-04-01,79.32511952201298,109.63746648712934,78.86851346078814,84.45420528875748,133.53878562541885,89.88933813653301,82.24821267957108,251616.55585276074,172728300.0
1998-07-01,79.20544314221225,102.8558575168288,78.46773800234101,84.30649251160226,140.432477266172,92.10560610548211,82.50506774142065,250150.99531288343,173183300.0
1998-10-01,80.9356986445471,107.89472727104865,77.50475516972298,87.09413364256008,128.74798563288078,88.91213037518683,82.75446475850106,242583.91742331287,173785300.0
1999-01-01,78.98787013653322,112.36745577476104,76.15257998439328,87.57677539107132,111.29207928606381,84.8368863694285,82.96418497740959,252606.37114045618,174507700.0
1999-04-01,86.11725927618242,116.4499619933342,83.33508095981273,89.31552579298109,125.75666301700893,93.97295789393928,83.19120786018254,259973.35587034814,174988000.0
1999-07-01,86.81365006783719,109.39787201839314,85.95786188060866,88.65516867209013,128.03473823631128,96.07273679062686,83.45581928859202,260293.42099639858,175480000.0
1999-10-01,86.8128642004276,115.67432945582343,86.45496000780335,91.65832844541053,117.80750758033433,92.2279361624455,83.70670791462628,270222.75567827135,176100700.0
2000-01-01,80.55118494772015,112.28016773850966,79.62726785017558,92.07686464879212,106.56947001516784,85.94160392888877,83.9191130296517,249956.49954703837,178274300.0
2000-04-01,85.4136834110687,109.74120496098195,85.21081252438549,94.21014917790389,126.22125535789367,94.07930789841645,84.1273416396064,247426.1635423926,178789300.0
2000-07-01,84.25037511135459,106.76725680280148,87.25346273897777,92.90913664031939,126.5362643481056,94.13661567284974,84.35615445312395,245147.09167247388,179399700.0
2000-10-01,82.78203798995324,109.83554318477674,90.01621634802964,93.51808931472573,110.94986288671186,89.65448646861505,84.57959747440772,235942.33090592336,179977700.0
2001-01-01,79.04725925934241,102.37868291865453,84.55691572376122,91.4704121906545,99.08685850568757,84.54153091657999,84.77380496019641,242111.63264822133,180499300.0
2001-04-01,86.7896249784588,95.59461197810077,87.68606125634024,91.07527801154801,111.53774956268683,92.38167528808866,84.9733822382189,250239.31332580463,181074300.0
2001-07-01,85.80526991458181,96.31070959857854,89.74578131096372,88.85258574866725,122.39488339989296,93.25121055785536,85.19593029413038,228874.04265386786,181771000.0
2001-10-01,87.13787650767257,101.8249634271521,94.2990392118611,88.48265374954933,115.84983691339406,91.50277240134729,85.4128102360173,220531.2984528515,182338000.0
2002-01-01,85.82817233623223,103.51398692861655,85.98273507608272,88.68497125001313,108.88864334616693,89.21586157968328,85.5989630334553,236473.4804558088,182898000.0
2002-04-01,91.2469526587859,106.2673649336541,92.07191279750293,91.586622242824,127.9251050053884,97.77345520419338,85.7895906577548,260224.65414118956,183448000.0
2002-07-01,90.38272304180083,104.98971427995902,88.34471322668747,90.8764608138604,136.88403415850038,98.68134259992698,86.00706724322325,283479.56498054473,184092000.0
2002-10-01,89.4907635319351,107.09973469472826,90.69547405384316,91.26699459503247,130.8197666993366,95.4783890453985,86.21708578392254,314313.9168982768,184609000.0
2003-01-01,82.99770246049471,106.97518138146185,85.41174892703863,91.41050700885627,119.08751860105701,89.32144013335078,86.39667550196371,306134.4305978261,185983300.0
2003-04-01,86.82700981379993,106.74688959434283,90.49465957861881,92.11466791877498,129.17503863710397,94.85814259441662,86.58879473521704,307444.318,186586300.0
2003-07-01,87.09476606691884,109.2798093539762,88.47773605150215,91.5168162046017,136.83076733216717,95.94566782154688,86.80388474635936,325002.77074999997,187223700.0
2003-10-01,88.99218679394724,112.58354961835263,91.50019508388607,93.16515878623501,128.46259483489723,95.2163161846247,87.01121839094176,347827.2689347826,187864300.0
2004-01-01,85.94347031189392,111.25195943456376,86.38741221225128,93.18696067209814,114.81090420150703,90.80670335649981,87.18066516809688,385021.3826786659,187892300.0
2004-04-01,90.84941601631459,115.6011417946588,96.9966835739368,95.2148360833212,132.30572747532176,100.24771836535083,87.37099447060561,402116.3101323451,188434300.0
2004-07-01,90.93114622691022,120.09076836692755,96.8011119781506,95.1266284533612,149.5794475001758,103.13801392744229,87.58817273428329,420396.81709899416,189023700.0
2004-10-01,94.17251249108179,127.99895254356497,101.4953179867343,96.7448684311193,141.10095297681488,103.24050667787107,87.80624596333327,421695.30894653255,189642000.0
2005-01-01,91.16600831559985,127.55434309737679,97.4046527506828,97.47963198816697,124.0823167625479,99.33178583974487,87.99210043898051,493957.3579518689,190112700.0
2005-04-01,95.59156449922563,126.28933801816429,106.28206691377292,100.02345202860047,149.19498499718026,107.12332881024376,88.1803414889539,504220.18312339985,190664300.0
2005-07-01,92.6051560760742,114.04819810355549,101.42203960202887,98.97486132550466,160.47641665793716,103.1519000420165,88.40467947560997,522347.8458883768,191288700.0
2005-10-01,93.06556211131137,111.08600025794732,98.72488294966837,100.34677999646969,145.36493946494966,98.63075746826375,88.62722753152143,549001.8600614439,191991000.0
2006-01-01,89.54566198383245,120.00985907178683,98.33142313694889,100.4260868565131,122.4661736997915,96.80682733966565,88.82113669551936,541609.3164186508,192357700.0
2006-04-01,96.49519975346215,120.36941863649932,103.56625536480686,102.25544509600081,140.59870650007392,104.44738636598453,89.02160893891414,556505.858640873,192876000.0
2006-07-01,98.13339650210413,124.39518763150906,109.74492781896215,102.47016366915737,158.31899539224733,109.28261962653515,89.25191336138553,565019.6799007936,193490000.0
2006-10-01,97.59193385690813,126.97712298072976,109.13065743269605,102.67078102255846,135.1470075437421,104.83696902487239,89.48042785311232,548776.4636607143,194082000.0
2007-01-01,96.56076354877511,132.353842198338,107.21773800234101,102.75768854005872,117.73725047318793,102.38055943959608,89.67821520039021,508615.5347204136,194867700.0
2007-04-01,100.68825145062702,137.9862705990673,111.50421868903629,106.26379181799226,141.36372833344575,109.35756056233252,89.8795824091573,537304.3312208814,195352700.0
2007-07-01,100.4621461702155,139.51258024834004,113.34800526726492,106.01997072746794,145.98600310818819,110.34160117370729,90.11167676237328,517898.76018365787,195918300.0
