Year,Month,Monthly Sum
1986,10,5.2371067841899995e-09
1986,11,5.232240196059999e-09
1986,12,5.227375117119998e-09
1987,1,5.22242642839e-09
1987,2,5.217720035039999e-09
1987,3,5.213015138860001e-09
1987,4,5.208148654060001e-09
1987,5,5.203286129459999e-09
1987,6,5.198416217360001e-09
1987,7,5.1996668305300005e-09
1987,8,5.209392781189998e-09
1987,9,5.219014724289999e-09
1987,10,5.228640556710001e-09
1987,11,5.23826329548e-09
1987,12,5.24788687778e-09
1988,1,5.25766688117e-09
1988,2,5.267137084900001e-09
1988,3,5.276603790399999e-09
1988,4,5.28622482836e-09
1988,5,5.2958498838300005e-09
1988,6,5.305473287399998e-09
1988,7,5.314075226239999e-09
1988,8,5.32152082347e-09
1988,9,5.3288457472500006e-09
1988,10,5.336166531159998e-09
1988,11,5.3434884615499995e-09
1988,12,5.350812912100001e-09
1989,1,5.35825216011e-09
1989,2,5.3653348818399995e-09
1989,3,5.372418263439998e-09
1989,4,5.379739873160001e-09
1989,5,5.387062191510001e-09
1989,6,5.394384802930001e-09
1989,7,5.379868954540002e-09
1989,8,5.336663893109999e-09
1989,9,5.29402526224e-09
1989,10,5.25139527853e-09
1989,11,5.2087482584099996e-09
1989,12,5.16611469969e-09
1990,1,5.12277934677e-09
1990,2,5.081542556759999e-09
1990,3,5.04029186782e-09
1990,4,4.9976586438599995e-09
1990,5,4.955019213800001e-09
1990,6,4.912378628680001e-09
1990,7,4.863201025020001e-09
1990,8,4.8044404637399995e-09
1990,9,4.74657553829e-09
1990,10,4.6887187190199994e-09
1990,11,4.630849857569999e-09
1990,12,4.572984221760001e-09
1991,1,4.51417516901e-09
1991,2,4.458204617860001e-09
1991,3,4.402238632660002e-09
1991,4,4.344373129970001e-09
1991,5,4.28650770977e-09
1991,6,4.22864288217e-09
1991,7,4.201112896909999e-09
1991,8,4.2150712345e-09
1991,9,4.2290867251799996e-09
1991,10,4.243102299220003e-09
1991,11,4.2571167698e-09
1991,12,4.271132750099999e-09
1992,1,4.285379211549998e-09
1992,2,4.299162578430001e-09
1992,3,4.31294744535e-09
1992,4,4.32696474492e-09
1992,5,4.340977440960001e-09
1992,6,4.354995105350001e-09
1992,7,4.36345919626e-09
1992,8,4.36506241276e-09
1992,9,4.36664156814e-09
1992,10,4.3681756009e-09
1992,11,4.3697045038799995e-09
1992,12,4.37130140519e-09
1993,1,4.37286833053e-09
1993,2,4.37434519761e-09
1993,3,4.37587012168e-09
1993,4,4.377417995429999e-09
1993,5,4.378971087139999e-09
1993,6,4.380528035910001e-09
1993,7,4.38161355795e-09
1993,8,4.38212181473e-09
1993,9,4.382616380920001e-09
1993,10,4.383110291869999e-09
1993,11,4.383610591010001e-09
1993,12,4.384102320609998e-09
1994,1,4.384607177179998e-09
1994,2,4.3850898306e-09
1994,3,4.385569195089999e-09
1994,4,4.386061080509998e-09
1994,5,4.386558573340001e-09
1994,6,4.387056556950001e-09
1994,7,4.3893778729199995e-09
1994,8,4.394205179529999e-09
1994,9,4.39896493706e-09
1994,10,4.40372528234e-09
1994,11,4.408482028610001e-09
1994,12,4.4132440989699984e-09
1995,1,4.41808376e-09
1995,2,4.42268358686e-09
1995,3,4.427287625959999e-09
1995,4,4.432045882880001e-09
1995,5,4.436806412900001e-09
1995,6,4.44156236067e-09
1995,7,4.4268205095e-09
1995,8,4.384865826030001e-09
1995,9,4.343410914129999e-09
1995,10,4.30196257009e-09
1995,11,4.26050161111e-09
1995,12,4.219051139929999e-09
1996,1,4.1769112058599995e-09
1996,2,4.13613660206e-09
1996,3,4.09536216506e-09
1996,4,4.0539002196500004e-09
1996,5,4.01244840097e-09
1996,6,3.97098575257e-09
1996,7,3.951153177889999e-09
1996,8,3.9583209785300015e-09
1996,9,3.9654745954199996e-09
1996,10,3.972624983919999e-09
1996,11,3.9797798465200016e-09
1996,12,3.986933903110001e-09
1997,1,3.994202579349999e-09
1997,2,4.001119825280001e-09
1997,3,4.0080391266799996e-09
1997,4,4.0151910587100005e-09
1997,5,4.02234443135e-09
1997,6,4.029497612590001e-09
1997,7,4.035728491419999e-09
1997,8,4.04085885451e-09
1997,9,4.04590294607e-09
1997,10,4.05094602778e-09
1997,11,4.05598812637e-09
1997,12,4.061030777690002e-09
1998,1,4.06615835022e-09
1998,2,4.07103597214e-09
1998,3,4.075912742419999e-09
1998,4,4.08095691258e-09
1998,5,4.08599937424e-09
1998,6,4.09104394855e-09
1998,7,4.096683837910001e-09
1998,8,4.103220439920001e-09
1998,9,4.10965325036e-09
1998,10,4.1160896452899996e-09
1998,11,4.1225232400499984e-09
1998,12,4.128958131819999e-09
1999,1,4.13550056609e-09
1999,2,4.1417220723999996e-09
1999,3,4.147949246340001e-09
1999,4,4.15438144595e-09
1999,5,4.160814894550001e-09
1999,6,4.16724981487e-09
1999,7,4.172950324409998e-09
1999,8,4.17771813408e-09
1999,9,4.18240384191e-09
1999,10,4.187093609579999e-09
